,channel_name,channel_id,channel_description,date,text,id,detected_language
0,Demotermine,1250288610,"🔊 Wir Demokraten wollen miteinander in Kontakt bleiben @DemotermineChat und uns im Bedarfsfall möglichst schnell austauschen, Beweise in Wort, Bild und Ton sichern, damit sie nicht unterschlagen werden können @LivestreamsFuerDich!

@Terminverteiler_Bot",2021-08-29 11:11:25,"Berlin 29.08.2021 um 13 : 10 Uhr
In ungefähr 20 Minuten wird der Zug die U-Bahn-Station ""Frankfurter Tor"" erreichen. Wer noch Gesellschaft braucht: das ist die Chance, den Zug zu finden.
@alexander_ehrlich

Raus auf die Straßen @Demotermine",Demotermine1250288610159712021-08-29 11:10:12,de
2,Demotermine,1250288610,"🔊 Wir Demokraten wollen miteinander in Kontakt bleiben @DemotermineChat und uns im Bedarfsfall möglichst schnell austauschen, Beweise in Wort, Bild und Ton sichern, damit sie nicht unterschlagen werden können @LivestreamsFuerDich!

@Terminverteiler_Bot",2021-10-26 09:58:45,"Vic Aus 🇦🇺 Dan Andrews caught bluffing again..

All Retail deemed essential and EVERYONE allowed to shop on Friday...

Raus auf die Straßen @Demotermine!
👉 Übersicht / Overview 👈",Demotermine1250288610233712021-10-26 09:58:28,en
3,Demotermine,1250288610,"🔊 Wir Demokraten wollen miteinander in Kontakt bleiben @DemotermineChat und uns im Bedarfsfall möglichst schnell austauschen, Beweise in Wort, Bild und Ton sichern, damit sie nicht unterschlagen werden können @LivestreamsFuerDich!

@Terminverteiler_Bot",2021-05-13 06:52:14,"🌏 World Wide Demonstration 2.0 🌏


💫  Ukraine, Kiev is rising up! 💫

On May 15th, people from all over the world are standing side by side for freedom and human rights!

We are one big family!!! 

Details:
Mikhailivska Square
12 PM


For more information visit the group: 
https://t.me/sergeymikiten

And:
https://t.me/stopfakepandemic



You will find the official channel for the World Wide Demonstration here: 
t.me/worldwidedemonstration


#wewillALLbethere

worldwide @Demotermine!",Demotermine1250288610104492021-05-13 07:02:17,en
4,Demotermine,1250288610,"🔊 Wir Demokraten wollen miteinander in Kontakt bleiben @DemotermineChat und uns im Bedarfsfall möglichst schnell austauschen, Beweise in Wort, Bild und Ton sichern, damit sie nicht unterschlagen werden können @LivestreamsFuerDich!

@Terminverteiler_Bot",2021-02-27 07:11:14,"🗓 27 Feb: Sternmarsch – Graz BEHÖRDLICH VERBOTEN
 https://www.demo-info.at/demonstrationen/sternmarsch-graz/ #Termin

Bilder und Videos hochladen @WiderstandAktiv - Termine in Textform @Termine_Veranstaltungen
Fahren oder Mitfahren @Fahrgemeinschaft - Übernachten? @Unterkuenfte

@Demotermine - @DemotermineChat - @Demoliebe",Demotermine125028861068852021-02-27 07:11:32,de
5,Demotermine,1250288610,"🔊 Wir Demokraten wollen miteinander in Kontakt bleiben @DemotermineChat und uns im Bedarfsfall möglichst schnell austauschen, Beweise in Wort, Bild und Ton sichern, damit sie nicht unterschlagen werden können @LivestreamsFuerDich!

@Terminverteiler_Bot",2021-10-20 04:49:20,"https://t.me/freiejugend

Raus auf die Straßen @Demotermine!
👉 Übersicht / Overview 👈",Demotermine1250288610224132021-10-20 04:48:43,de
6,Demotermine,1250288610,"🔊 Wir Demokraten wollen miteinander in Kontakt bleiben @DemotermineChat und uns im Bedarfsfall möglichst schnell austauschen, Beweise in Wort, Bild und Ton sichern, damit sie nicht unterschlagen werden können @LivestreamsFuerDich!

@Terminverteiler_Bot",2021-01-01 03:50:02,"Stuttgart-Stream von Stephan Bergmann u.a. mit Karl Hilz und dem Ärger mit dem Ordnungsamt der Stadt

https://www.youtube.com/watch?v=Ft0liYgCwuE

@peacecrowd

@Demotermine",Demotermine125028861048362021-01-01 03:57:43,de
7,Demotermine,1250288610,"🔊 Wir Demokraten wollen miteinander in Kontakt bleiben @DemotermineChat und uns im Bedarfsfall möglichst schnell austauschen, Beweise in Wort, Bild und Ton sichern, damit sie nicht unterschlagen werden können @LivestreamsFuerDich!

@Terminverteiler_Bot",2020-10-09 13:28:26,"Demo-Termine von https://terminkalender.top

Zum Redaktionsschluss um 00:00 Uhr, wurden für den heutigen Tag folgende Demotermine gemeldet:

🔴 Freitag, 09. Oktober 2020
▶️ DE, Bergisch Gladbach, Trotzenburger Platz (Kundgebung) 🕑 17:00
▶️ DE, Bergisch Gladbach, Hauptstr. 164 (Kundgebung) 🕑 17:00
▶️ DE, Berlin, Schillerstr. 71 (Demonstration) 🕑 16:30
▶️ DE, Berlin, Alexanderplatz (Kundgebung) 🕑 12:00
▶️ DE, Hersbruck, Marktplatz (Kundgebung) 🕑 17:00
▶️ DE, Nürnberg, Jakobsplatz (Demonstration) 🕑 16:00
▶️ DE, Schorndorf, Oberer Marktplatz (Kundgebung) 🕑 17:30
▶️ DE, Sinsheim, Burgplatz (Vortrag) 🕑 17:00
▶️ DE, Sinsheim, Burgplatz (Kundgebung) 🕑 17:00
▶️ AT, Wien, Ballhausplatz (Menschenkette) 🕑 17:00

Bilder und Videos hochladen @WiderstandAktiv - @Termine_in_Textform
Fahren oder Mitfahren @Fahrgemeinschaft - Übernachten? @Unterkuenfte

@Demotermine - @DemotermineChat - @Demoliebe",Demotermine125028861031052020-10-09 13:28:27,de
8,Demotermine,1250288610,"🔊 Wir Demokraten wollen miteinander in Kontakt bleiben @DemotermineChat und uns im Bedarfsfall möglichst schnell austauschen, Beweise in Wort, Bild und Ton sichern, damit sie nicht unterschlagen werden können @LivestreamsFuerDich!

@Terminverteiler_Bot",2021-05-21 01:23:05,"💢💢💢💢 FREITAG💢💢💢💢
‼️Es ist nicht genug zu wollen, man muss auch tun. Aufklärung, absolut parteilos, jenseits politischer-medialer Panik ist dringend geboten‼️
Am 21.05. um 17:00 bis 18:30 positionieren wir uns wieder mit aktuellen Schildern/Plakaten an der B65. Nach der durchweg positiven Resonanz wollen wir diese Aktion wiederholen. Auf Höhe Bruchhof in Stadthagen bis Bückeburg. Alle ca. 100 m ein Aktivist. Wir sollten mehr als 💯 Teilnehmer werden, so können wir die 10 km abdecken. Einfach auf der Strecke einen Platz suchen und ca. 100 m Abstand zum nächsten einhalten.

""Vernetzen"" ist wichtig => gemeinsam sind wir stark. 

Auf eine Versammlung wird verzichtet. Die Kanäle stehen uns im Anschluss zum Austauschen oder ein Feedback geben zur Verfügung.
Freundschaftliche Grüße
Eure Aktionen SHG (Gruppe)

Wer ist dabei?

@freidenker_Minden

@NiedersachsenInfoChat

21052021

Raus auf die Straße @Demotermine!",Demotermine1250288610107832021-05-21 01:25:13,de
9,Demotermine,1250288610,"🔊 Wir Demokraten wollen miteinander in Kontakt bleiben @DemotermineChat und uns im Bedarfsfall möglichst schnell austauschen, Beweise in Wort, Bild und Ton sichern, damit sie nicht unterschlagen werden können @LivestreamsFuerDich!

@Terminverteiler_Bot",2021-11-14 01:42:57,"🌏 WORLD WIDE DEMONSTRATION FOR  FREEDOM 5.0 🌎        
        
        
💫 Australia, Hobart is rising up!💫        
        
        
📅 Saturday 20th November, 12 PM  
        
🏢 Parliament Lawns 
        
      
United with more than 40 countries and 150 cities around the world.        
        
#wewillALLbethere         
        
We are standing side by side for freedom, peace and human rights.        
        
Bigger and better than ever before.        
        
Together, We are Free.        


🖥🇦🇺 http://AustraliaFreedomRally.com

📣🇦🇺 t.me/AustraliaFreedomRallyUpdates

👥🇦🇺 http://t.me/AustraliaFreedomRally

  
   
📣🌏 t.me/WorldWideDemonstration        
        
👥🌏 t.me/WorldWideDemoChat        
        
🖥🌏 WorldWideDemonstration.com        
        
        
💾 SAVE IMAGE. REUPLOAD. SHARE WITH EVERYONE.

#AUS #Sat2011 #Hobart #worldwide

Raus auf die Straßen @Demotermine!
👉 Übersicht / Overview 👈",Demotermine1250288610265832021-11-14 01:45:56,en
10,Demotermine,1250288610,"🔊 Wir Demokraten wollen miteinander in Kontakt bleiben @DemotermineChat und uns im Bedarfsfall möglichst schnell austauschen, Beweise in Wort, Bild und Ton sichern, damit sie nicht unterschlagen werden können @LivestreamsFuerDich!

@Terminverteiler_Bot",2021-04-19 04:03:37,"❗️Bitte teilen❗️

Demo in Halle (Saale): Für Sonnabend, den 24.04.2021 von 16:30 Uhr bis 18.00 Uhr, wurde die Veranstaltung „Wir wollen freie Menschen sein!"" in Halle (Saale), Marktplatz Westseite angemeldet. Kommt gerne früher zum Marktplatz in Halle.

Freiheit ist nicht alles, aber ohne Freiheit ist alles nichts und wenn wir nichts verändern, dann verändert sich nichts. Deshalb lasst uns alle gemeinsam für unsere Freiheit und für Gerechtigkeit einstehen!

""Freiheit ist die Freiheit zu sagen, daß zwei und zwei gleich vier ist. Sobald das gewährleistet ist, ergibt sich alles andere von selbst.“ (George Orwell)

Kommt auch Ihr zum Marktplatz in Halle: Für Gerechtigkeit! Für die FREIHEIT! Für uns Alle!

@SandraGabriel269

@SachsenAnhaltInfoChat

24042021

Raus auf die Straße @Demotermine!",Demotermine125028861092612021-04-19 04:53:00,de
